AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,SOLIDITY,EXTENT,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_2,Class
73107,1161.807,442.4074,217.7261,0.8705,0.9424,0.771,0.6806,0.6896,0.003,0
89272,1173.181,460.2551,251.9546,0.8369,0.9641,0.7584,0.8151,0.7325,0.0028,1
60955,999.789,386.9247,209.1255,0.8414,0.9465,0.7263,0.7663,0.72,0.0034,0
79537,1439.5129,466.7973,221.2136,0.8806,0.9437,0.7568,0.4823,0.6817,0.0028,0
96395,1352.674,515.873,246.5945,0.8784,0.9549,0.7428,0.662,0.6791,0.0026,0
74065,1380.55,405.4317,245.2286,0.7963,0.9041,0.7251,0.4883,0.7574,0.0033,0
91533,1915.9561,451.7373,267.9266,0.8051,0.9395,0.7333,0.3133,0.7557,0.0029,1
77803,2034.995,455.4354,270.3713,0.8047,0.7967,0.6716,0.2361,0.6911,0.0035,0
90992,1185.531,468.9019,249.606,0.8465,0.9883,0.7601,0.8136,0.7259,0.0027,1
83311,1208.881,473.0142,228.6437,0.8754,0.9687,0.7708,0.7164,0.6885,0.0027,0
100207,2110.77,476.0792,274.6955,0.8167,0.9494,0.6499,0.2826,0.7503,0.0027,1
75231,1118.512,436.2821,224.8806,0.8569,0.964,0.7559,0.7557,0.7094,0.003,0
80415,1933.293,472.1519,241.14,0.8597,0.872,0.6852,0.2704,0.6777,0.003,0
88714,1243.559,456.6076,248.3919,0.8391,0.9823,0.7341,0.7209,0.7361,0.0028,1
101208,1277.932,489.2357,266.3607,0.8388,0.9845,0.7223,0.7788,0.7337,0.0026,1
77331,1112.238,414.8904,241.7542,0.8127,0.9749,0.7172,0.7855,0.7563,0.0031,1
93962,1588.455,493.8718,249.8349,0.8626,0.9453,0.7502,0.468,0.7004,0.0027,0
67840,1009.393,390.6413,224.5408,0.8183,0.9889,0.7447,0.8367,0.7523,0.0033,0
88120,1266.137,462.0862,246.7303,0.8455,0.9753,0.7594,0.6908,0.7249,0.0028,0
80574,1205.184,447.1653,232.2778,0.8545,0.9749,0.728,0.6971,0.7163,0.0029,0
99362,1201.67,468.1415,272.4168,0.8133,0.9932,0.6916,0.8647,0.7598,0.0027,1
91449,1221.651,496.9003,236.5792,0.8794,0.9889,0.7481,0.77,0.6867,0.0026,0
83628,1838.771,492.9537,230.5179,0.8839,0.9257,0.7383,0.3108,0.6619,0.0028,0
70376,1108.043,425.9539,212.0494,0.8673,0.977,0.7189,0.7203,0.7028,0.003,0
92921,1220.42,454.425,263.0401,0.8154,0.9821,0.7372,0.784,0.7569,0.0028,1
92053,2746.7729,457.8702,295.9154,0.7631,0.8668,0.6856,0.1533,0.7477,0.0032,1
84008,1320.6689,443.6006,244.3152,0.8347,0.9639,0.6253,0.6053,0.7373,0.0029,1
68804,1261.615,403.3394,227.8688,0.8251,0.9297,0.6052,0.5432,0.7338,0.0033,0
90180,1188.213,452.9105,254.3419,0.8274,0.9865,0.7636,0.8027,0.7482,0.0028,0
80235,1178.358,469.1064,226.941,0.8752,0.9434,0.77,0.7261,0.6813,0.0028,0
91368,1855.936,450.2493,270.8279,0.7989,0.931,0.7673,0.3333,0.7575,0.003,1
92902,1569.4189,454.7281,264.4788,0.8135,0.9657,0.7548,0.474,0.7563,0.0028,1
71061,1052.917,419.1131,217.3003,0.8551,0.9906,0.7459,0.8055,0.7177,0.0031,0
61137,1517.489,392.1009,212.6747,0.8401,0.9021,0.692,0.3336,0.7116,0.0035,0
